raw_text,file_id,audio_id,video_id
"Субботние вопросы #22 
#Артур_Хачуян",BAADAgADIwwAAgNX-UuW54BLN7xJTAI,,5474502492442070051
Субботние вопросы #22,,,
,CQADAgAD6AsAAgNX-UspsAnaEAHE2wI,5474502492442069992,
"Анализ социальных сетей #1 
#Артур_Хачуян",BAADAgAD5wsAAgNX-UshSr7Uq00UtAI,,5474502492442069991
Анализ социальных сетей #1,,,
,CQADAgADagwAAgjk8UtQp7wpi2Z_xQI,5472405745242737770,
"Анализ социальных сетей #3 
#Артур_Хачуян",BAADAgADaQwAAgjk8Uvu2Y0hVWUbWwI,,5472405745242737769
Анализ социальных сетей #3,,,
,CQADAgADFQsAAgjk6Uu-WwyCBFGmcQI,5470153945429052181,
"Анализ социальных сетей #2 
#Артур_Хачуян",BAADAgADFAsAAgjk6Uv59Ec2-4i4bgI,,5470153945429052180
Анализ социальных сетей #2,,,
,CQADAgADEAsAAgjk6Ut7Ah1fkXMfYAI,5470153945429052176,
"Субботние вопросы #4 
#Артур_Хачуян",BAADAgADDwsAAgjk6Ut-1312Ikj8_AI,,5470153945429052175
Субботние вопросы #4,,,
,CQADAgADHwoAAgjk6UtQ1Nm66LGTzAI,5470153945429051935,
"Субботние вопросы #1 
#Артур_Хачуян",BAADAgADHgoAAgjk6UtB4HmH5_vnmAI,,5470153945429051934
Субботние вопросы #1,,,
,CQADAgADFgoAAgjk6UsD1r8aEE1O-QI,5470153945429051926,
"Субботние вопросы #2 
#Артур_Хачуян",BAADAgADFQoAAgjk6UsWxLxNKTOrYwI,,5470153945429051925
Субботние вопросы #2,,,
,CQADAgAD7gkAAgjk6Ut55ye6D6ZVkQI,5470153945429051886,
"Субботние вопросы #3 
#Артур_Хачуян",BAADAgAD7QkAAgjk6UsTcmcs2y4ZzwI,,5470153945429051885
Субботние вопросы #3,,,
,CQADAgADWQ0AAgjk4UuyBJLfbWkZvwI,5467902145615367513,
"Субботние вопросы #5 
#Артур_Хачуян",BAADAgADWA0AAgjk4Uv8ghONJuPANQI,,5467902145615367512
Субботние вопросы #5,,,
,CQADAgADGwwAAgjk4UsFo7g-yEEz7gI,5467902145615367195,
"Субботние вопросы #6 
#Артур_Хачуян",BAADAgADGgwAAgjk4UtmowKkjqYKXAI,,5467902145615367194
Субботние вопросы #6,,,
,CQADAgADFAwAAgjk4UsLmra1c32-ZwI,5467902145615367188,
"Субботние вопросы #7 
#Артур_Хачуян",BAADAgADEwwAAgjk4UvlPHkG_Qap8gI,,5467902145615367187
Субботние вопросы #7,,,
,CQADAgADDwwAAgjk4Utdw2iu6rhsrAI,5467902145615367183,
"Субботние вопросы #8 
#Артур_Хачуян",BAADAgADDgwAAgjk4UvNsvEQYejryQI,,5467902145615367182
Субботние вопросы #8,,,
,CQADAgADEA0AAr264EvgcM_AiIAWHwI,5467575268539370768,
"Субботние вопросы #9 
#Артур_Хачуян",BAADAgADDw0AAr264Eu9yn56h0w6RwI,,5467575268539370767
Субботние вопросы #9,,,
,CQADAgADwQwAAr262EvlsjqCVxJ1MQI,5465323468725685441,
"Субботние вопросы #10 
#Артур_Хачуян",BAADAgADwAwAAr262Ev8lRqxFc2VNQI,,5465323468725685440
Субботние вопросы #10,,,
,CQADAgADvwwAAr262EsUmCWYGO2IGAI,5465323468725685439,
"Субботние вопросы #12 
#Артур_Хачуян",BAADAgADvgwAAr262Es1Oddz1wpwtAI,,5465323468725685438
Субботние вопросы #12,,,
,CQADAgADvQwAAr262EtydCedtqDZ8wI,5465323468725685437,
"Субботние вопросы #11 
#Артур_Хачуян",BAADAgADvAwAAr262EtlkMbaA75btgI,,5465323468725685436
Субботние вопросы #11,,,
,CQADAgADuwwAAr262EvbhXyX2aPudwI,5465323468725685435,
"Субботние вопросы #13 
#Артур_Хачуян",BAADAgADugwAAr262EuGvDok00LxxAI,,5465323468725685434
Субботние вопросы #13,,,
,CQADAgADjQwAAr262Et40JFGW50O-QI,5465323468725685389,
"Субботние вопросы #14 
#Артур_Хачуян",BAADAgADjAwAAr262EsHNlLTjiQwYQI,,5465323468725685388
Субботние вопросы #14,,,
,CQADAgADigwAAr262Euaga5Jd5XCEgI,5465323468725685386,
"Субботние вопросы #15 
#Артур_Хачуян",BAADAgADiQwAAr262EuwYfb4KkvtmAI,,5465323468725685385
Субботние вопросы #15,,,
,CQADAgADdAwAAr262EsSadD6Y4PfQgI,5465323468725685364,
"Субботние вопросы #16 
#Артур_Хачуян",BAADAgADcwwAAr262Etd1eeni-wf_wI,,5465323468725685363
Субботние вопросы #16,,,
,CQADAgADVgwAAr262Es-njqpHtQccAI,5465323468725685334,
"Субботние вопросы #17 
#Артур_Хачуян",BAADAgADVQwAAr262Eu2yqiaHUfsygI,,5465323468725685333
Субботние вопросы #17,,,
,CQADAgADHgwAAr262EtqXXSBaWaxTQI,5465323468725685278,
"Субботние вопросы #18 
#Артур_Хачуян",BAADAgADHQwAAr262EsMCSy8jHj6HwI,,5465323468725685277
Субботние вопросы #18,,,
,CQADAgAD0AsAAr260EtpAbQDtOWL9gI,5463071668911999952,
"Субботние вопросы #19
#Артур_Хачуян",BAADAgADzwsAAr260Eu2QTah2Q5pUQI,,5463071668911999951
Субботние вопросы #19,,,
,CQADAgADaQsAAr260Etv1WLs5NPlwwI,5463071668911999849,
"Субботние вопросы #20
#Артур_Хачуян",BAADAgADaAsAAr260Eu5KxcdsgL4OwI,,5463071668911999848
Субботние вопросы #20,,,
,CQADAgADUwkAAtuo0EunGPiopI-ilgI,5463052006551718227,
"Субботние вопросы #21
#Артур_Хачуян",BAADAgADUgkAAtuo0EsRVJzoDI076QI,,5463052006551718226
Субботние вопросы #21,,,
"#Артур_Хачуян
Разговоры на тему личной информации и данных в сети, цифровому следу - суждения Артура Хачуяна - специалиста по обработке больших данных из открытых источников. 

Субботние вопросы - вечерние стримы Артура Хачуяна, на которых он делится чем-то новым, произошедшим на этой неделе, отвечает на вопросы.",,,
,CQADAgADLw8AArgJsUvajtb6AmIgtgI,5454151309601017647,
Бакалавриат им. Чебышева  МКН СПБГУ  Воскресный podcast 11,BAADAgADLQ8AArgJsUuob7bAo0L80gI,,5454151309601017645
AR | Стресс и устойчивость. Не нервничай Как стать непробиваемым,AgADBAAD7qsxG51inFOE8OXcDoMeewaPISpdAAt7dQQAAQI,,
,CQADAgADtgwAAiZ5kEsnMN_cfEHCzwI,5444985153606651062,
AR | Стресс и устойчивость. Не нервничай Как стать непробиваемым,BAADAgADtQwAAiZ5kEshA6TYzBlxKwI,,5444985153606651061
,,,
,CQADAgADJw0AAjHmcUs0MERLUVRl-AI,5436379323340688679,
"AR | Телевизор и новости. Лента в соцсети. Видео на ютубе. Как лишняя информация делает тебя глупее.

Для справки: этот веб на 35 минут короче оргинала.",BAADAgADJg0AAjHmcUsqAAHQGLlY4yYC,,5436379323340688678
,CQADAgADpw4AAjHmaUuVkT-66seZTwI,5434127523527003815,
AR | Чем я на самом деле занимаюсь Что происходит сейчас в моей жизни Немного (много) откровений,BAADAgADpg4AAjHmaUu5UJ8WdyRrUgI,,5434127523527003814
,CQADAgADhQwAApFJSEtVQFIR1mMNegI,5424666638286851205,
Подкаст о прекрасной России будущего (Артём Русакович),BAADAgADhAwAApFJSEukWHaFCtXUYAI,,5424666638286851204
,CQADAgADQAwAApFJSEs9d0wvBzngDAI,5424666638286851136,
Курукин Дискуссионные вопросы XVIII века,BAADAgADPwwAApFJSEvUuVUgOR-YHAI,,5424666638286851135
,CQADAgAD7gsAApFJSEs0iWsPnjzbfQI,5424666638286851054,
ИМХО  Ботан VS Раздолб #дрфпми2021,BAADAgAD7QsAApFJSEuBlT1Xd7C_ZAI,,5424666638286851053
,CQADAgADvggAAnZLOUtPlFlY3DXcvAI,5420446596695328958,
Морозов А.Ю. о ЕГЭ по истории,BAADAgADvQgAAnZLOUsToKomz-6m1wI,,5420446596695328957
,CQADAgADnggAAnZLOUumyHKMQr-YQwI,5420446596695328926,
Запись стрима по случаю 100.000 подписчиков на основном канале  Борис Трушин,BAADAgADnQgAAnZLOUuskQyMeUF_3QI,,5420446596695328925
,CQADAgADUggAAnZLOUtDhR0mSUvjKwI,5420446596695328850,
AR | Детерминизм и свобода воли. Как философия сознания помогает жить и развиваться,BAADAgADUQgAAnZLOUuPWoIRpxr8MAI,,5420446596695328849
,CQADAgAD7g4AAhl0MUskpNpNbjTASQI,5418239477426425582,
Зачем нужна математика - объяснение для школьников,BAADAgAD7Q4AAhl0MUv7e4xK77irzgI,,5418239477426425581
,CQADAgADXA4AAhl0MUsB-rsLJWbldAI,5418239477426425436,
"Матфак ВШЭ, совбак ВШЭ и РЭШ, школа ЦПМ, АПО  Аня Соколова и Алексей Бучнев (Воскреcный Podcast 6)",BAADAgADWw4AAhl0MUsLbIgiz2FQEgI,,5418239477426425435
,CQADAgADPg0AAhl0MUsfWZoabWhXuwI,5418239477426425150,
"ВШЭ, школа Летово, Фоксфорд, стажировка в Google   Павел и Евгения Труфановы (Воскресный podcast 5)",BAADAgADPQ0AAhl0MUvNQsewtMcfbAI,,5418239477426425149
,CQADAgADiw8AAsavGEviNHdRQ8TrkAI,5411268217224040331,
"Студенты биофака МГУ, Сириус, ШМТБ, COVID  Александр Русинов, Денис Лисицкий (Воскресный Podcast 7)",BAADAgADig8AAsavGEupgnbf7jW4NQI,,5411268217224040330
,CQADAgADmA4AAsavGEst_LTdg8l2SQI,5411268217224040088,
"Студенты Мехмата МГУ — учеба, НМУ, ноотропы  Федор Вылегжанин, Никита Елфимов (Воскресный podcast 4)",BAADAgADlw4AAsavGEvsearRfL8eLgI,,5411268217224040087
,CQADAgADCQ0AAsavGEse0K9J3BQlAQI,5411268217224039689,
"Геологический факультет МГУ, нефтянка  Юлия Кукула и Борис Спирин  (Воскресный Podcast 2)",BAADAgADCA0AAsavGEvzOvydNeMEdAI,,5411268217224039688
,CQADAgADiwwAAjehCEu7Hw5yfswiTgI,5406748610253556875,
"Геологический факультет МГУ  нефтянка, разработка и инженерная геология (Воскресный Podcast 1)",BAADAgADigwAAjehCEsEMUSrWpNPpgI,,5406748610253556874
,AgADAgAD-rIxG0VMEEtI_IREfyFm4BG0maEuAAvGYgACAg,,
,CQADAgADkwsAArh5AAFLlQABqoBcuo8TAg,5404453384025541523,
"Про олимпиаду Физтех, ЕГЭ, курсы и науку   Поболтали в инcтаграме #006   12.01.2021   Борис Трушин",BAADAgADkgsAArh5AAFLMl7pAAEhvATMAg,,5404453384025541522
"_Про олимпиаду Физтех, ЕГЭ, курсы и науку   Поболтали в инcтаграме #006   12.01.2021   Борис Трушин",,,
,CQADAgADdwsAArh5AAFLrUG4yd6MFE8C,5404453384025541495,
"_Стрим про поболтать   4 года основному каналу, 150к подписчиков, 15М просмотров   Борис Трушин",BAADAgADdgsAArh5AAFLMNjyEil1xhIC,,5404453384025541494
"_Стрим про поболтать   4 года основному каналу, 150к подписчиков, 15М просмотров   Борис Трушин",,,
,CQADAgADzAoAArh5AAFLbqch4Hxiz7QC,5404453384025541324,
_Ася Казанцева. Загадки сна. На что уходит треть жизни,BAADAgADywoAArh5AAFLzekkXy2cT-UC,,5404453384025541323
_Ася Казанцева. Загадки сна. На что уходит треть жизни,,,
,CQADAgAD_QoAArh5-EpgxtzmsAQNfAI,5402201584211856125,
"_Ася Казанцева про силу воли, прокрастинацию, привычки, зависимости и счастье",BAADAgAD_AoAArh5-Eo6aUGY_2wCoQI,,5402201584211856124
"_Ася Казанцева про силу воли, прокрастинацию, привычки, зависимости и счастье",,,
